Country Code,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
BWA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40599.9999999999,42500,41299.9999999999,41300,44300,51300,53399.9999999999,63900,70299.9999999999,83299.9999999999,85299.9999999999,98299.9999999999,96599.9999999999,92299.9999999999,96099.9999999998,88900,94099.9999999999,111900,116200,122400,120600,125900,122500,121700,127900,133700,140300
EAP,,0,0,0,0,0,0,0,0,0,0,0,28990488.9004341,30845171.8709613,32413795.1133157,33307289.0644181,37967623.9921613,39718588.8086817,44744719.9576292,49973531.5577725,51341700.4946757,51254880.8106387,50806818.3853294,52602609.6820693,55383774.0360953,59333057.775345,61359059.9603359,64412134.7896801,68220461.9630294,72824173.7144171,75020153.0932881,81467830.0803006,81690876.5669417,85215858.0678403,91194855.0955822,95903636.6657227,104416950.929137,109270870.146487,111160533.941267,109889492.116992,111104405.3137,113226127.789123,113764379.197931,123655792.445017,141230691.743647,164141733.629806,179022961.749876,195082790.459931,207345688.516223
EAS,,0,0,0,0,0,0,0,0,0,0,0,63342199.4636511,67583404.1735156,73718944.492944,74837940.0598434,77940710.3059215,82320404.5661446,89245385.682455,94678809.1614819,98279940.3495059,97562916.9975022,95834970.2877149,97563722.7548864,100248506.358062,107210854.473052,108741549.657824,112974368.673655,117501757.400895,126336135.20436,131018497.147223,141367130.099714,142789928.941206,149084233.429713,157070580.109035,165454208.968226,175563765.619146,183281423.230935,187488263.122772,183781162.333586,188206362.122486,192975559.028631,193369229.008491,205390864.554559,224241465.043123,248981862.148538,263929179.127899,280522624.669488,294944212.098892
ECA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145532395.806398,141823780.756771,126586832.875059,117591798.981605,104024889.568448,100775244.673618,98661257.9841994,94640086.5625196,92847569.2592878,92997187.72127,94813439.6801174,95353127.6932535,96056755.0787224,100320881.245228,100594580.881506,101694186.445475,105003318.198684,106264259.333103
ECS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274140560.009955,271546292.055115,253187018.996302,242804141.430079,228845624.491443,228824003.089342,230880638.865093,225385899.858069,225004822.646043,224115842.682817,226515317.820582,229736005.841842,229628099.029506,237272766.158383,238511792.617658,239530100.597154,242112957.256441,241209262.727897
EMU,,34173849.0975433,35855420.9144781,39207800.3563839,42563665.3461638,45098683.8116372,46765390.7920508,48249003.9929702,50762391.5584025,55220407.2891362,60203715.587691,72592890.4732838,74088622.5713931,78160476.6775798,83973131.1059469,82815144.4983307,78851769.9501938,85453741.3482078,83615520.5517455,87039111.2748876,90528151.6665102,88442006.3193984,83786132.0531454,80155334.3150444,79545978.7994376,80268036.4323511,81084900.5742925,81307791.3807766,82912363.8983621,82845104.561629,84350346.3995546,84586699.9999999,85929000,84175799.9999999,83109599.9999999,83172699.9999999,86018299.9999999,88396700,87951400,89958799.9999999,89463699.9999999,90233300,92489500,92325499.9999999,94455099.9999999,95370900,95433200,94191199.9999999,93081700
ERI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16899.9999999999,21399.9999999999,24200,26699.9999999999,29199.9999999999,26099.9999999999,19500,20500,20000,20800,20299.9999999999,24100,25900,26400,18399.9999999999,19100
HIC,,181777912.122433,186463511.222864,196989110.968662,209830165.285699,219732954.101044,229619230.030219,240705938.804889,253427572.798736,269217825.980834,287029309.628659,312998632.615324,319781081.952201,335186047.521511,353558860.677518,346044280.286193,335476184.98046,357451773.971592,363969057.359178,373225573.754907,382505729.483991,371645476.263468,358344714.431079,347058650.141799,345098302.860847,354232379.632535,357537037.208136,359211186.919032,369184763.093179,380738739.827143,386815967.932284,382667308.717712,385847797.920564,390700634.42811,397122099.003723,404909467.684903,411783525.293072,425054772.761898,430698343.062804,431887101.934441,439285172.39768,449743662.502607,450019712.15367,455385828.481161,461808396.452907,470283582.160737,472911671.135244,471063582.918972,476021242.05928
HPC,,0,0,0,0,0,0,0,0,0,0,0,1451836.07937697,1505557.34351902,1604979.51405797,1614513.14684937,1598018.4488452,1654766.26307976,1751918.52104932,1765991.97897948,1747984.00592905,1803369.87262198,1784605.26204841,1818199.96807528,1744352.14581804,1797468.09994158,1803975.18264048,1853307.94914839,1917773.46611885,1953335.42970584,1989805.35832058,2872108.32918165,2731489.32620171,2470779.65477125,2302326.81215158,2233621.23014946,2390899.06846756,2640888.05358375,2744084.38960301,2901086.30188898,3147764.17461951,3058226.17719104,3096303.96962596,3354570.73570623,3520816.1700688,3791775.5336274,3934705.21827438,3927255.2154067,4400744.2865539
KHM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47199.9999999998,52099.9999999997,62199.9999999997,73799.9999999999,74899.9999999999,77599.9999999996,90799.9999999996,98100,107000,119600,127100,138900,149600
