,1970,1980,1990,1995,2001,,,,,,,
Canada,207.8,177.8,150.7,142.3,..,,,,,,,
Mexico/Mexique,13.3,8.8,7.5,7.1,6.5,,,,,,,
USA/Etats-Unis,14.7,13.2,11.9,11.3,..,,,,,,,
Japan/Japon,2.4,2.2,2.0,2.0,2.0,,,,,,,
Korea/Corée,1.9,1.7,1.5,1.4,1.3,,,,,,,
Australia/Australie,110.1,99.3,87.4,86.8,84.7,,,,,,,
N.Zealand/N.Zélande,26.0,24.8,26.5,24.7,24.0,,,,,,,
Austria/Autriche,4.5,4.5,4.5,4.3,4.2,,,,,,,
Belgium/Belgique,0.7,0.7,0.7,0.7,0.7,,,,,,,
Czech R./R.tchèque,2.7,2.5,2.5,2.5,2.6,,,,,,,
Denmark/Danemark,1.1,1.0,1.0,..,..,,,,,,,
Finland/Finlande,48.6,48.8,46.9,45.4,44.3,,,,,,,
France,3.1,3.0,2.9,2.9,2.9,,,,,,,
Germany/Allemagne ,1.3,1.3,1.3,1.3,1.3,,,,,,,
Greece/Grèce,3.4,3.1,2.9,..,..,,,,,,,
Hungary/Hongrie,1.4,1.5,1.6,1.7,1.8,,,,,,,
Iceland/Islande,5.4,4.8,4.9,4.8,4.6,,,,,,,
Ireland/Irlande,1.0,1.1,1.4,1.6,1.7,,,,,,,
Italy/Italie,1.1,1.1,1.2,1.2,1.2,,,,,,,
Luxembourg,2.4,2.2,2.3,2.2,2.0,,,,,,,
Netherl./Pays-Bas,0.2,0.2,0.2,0.2,0.2,,,,,,,
Norway/Norvège,29.4,29.2,28.1,27.5,26.6,,,,,,,
Poland/Pologne,2.6,2.5,2.3,2.3,2.4,,,,,,,
Portugal,3.3,3.0,3.3,3.4,3.4,,,,,,,
Slovak R./R.slovaq.,4.1,4.0,3.8,3.7,3.7,,,,,,,
Spain/Espagne,4.2,4.2,4.1,4.2,4.1,,,,,,,
Sweden/Suède,33.7,33.0,32.8,34.3,..,,,,,,,
Switzerland/Suisse,1.9,2.0,1.9,1.8,..,,,,,,,
Turkey/Turquie,5.7,4.6,3.7,3.4,3.0,,,,,,,
UK/Royaume-Uni,0.3,0.4,0.4,0.4,0.5,,,,,,,
N. America/Amér. N.,28.4,24.2,21.6,20.4,18.8,,,,,,,
Australia/ie-NZ.,94.6,86.2,77.4,76.4,74.7,,,,,,,
OECD/OCDE Europe,3.5,3.4,3.3,3.3,3.2,,,,,,,
EU/UE - 15,3.2,3.2,3.2,3.2,3.1,,,,,,,
OECD/OCDE,12.8,11.6,10.8,10.6,10.2,,,,,,,
World/Monde,11.7,9.7,8.2,7.4,6.8,,,,,,,
