,Forest and other wooded land (a)/,,,,,,   km2 per 1000 inhabitants/,,,,, ,% of land area/,,,,
,1970,1980,1990,1995,2001,,1970,1980,1990,1995,2001,,1970,1980,1990,1995,2001
Canada,4 431 020,4 358 930,4 175 850,4 175 840,..,,207.8,177.8,150.7,142.3,..,,48.1,47.3,45.3,45.3,..
Mexico/Mexique, 681 540, 616 120, 608 370, 638 130, 646 730,,13.3,8.8,7.5,7.1,6.5,,35.7,32.3,31.9,33.4,33.9
USA/Etats-Unis,3 021 030,2 994 940,2 973 210,2 981 350,..,,14.7,13.2,11.9,11.3,..,,33.0,32.7,32.5,32.6,..
Japan/Japon, 252 630, 252 790, 252 120, 251 460, 251 170,,2.4,2.2,2.0,2.0,2.0,,68.9,69.0,69.1,69.0,68.9
Korea/Corée, 61 920, 64 840, 63 330, 63 030, 62 970,,1.9,1.7,1.5,1.4,1.3,,62.7,65.7,64.1,63.8,63.8
Australia/Australie,1 377 000,1 458 840,1 491 750,1 568 770,1 642 900,,110.1,99.3,87.4,86.8,84.7,,17.9,19.0,19.4,20.4,21.4
N.Zealand/N.Zélande, 73 310, 78 120, 89 270, 90 400, 92 550,,26.0,24.8,26.5,24.7,24.0,,27.5,29.3,33.4,33.9,34.7
Austria/Autriche, 33 640, 33 770, 34 350, 34 830,34330,,4.5,4.5,4.5,4.3,4.2,,40.7,40.9,41.6,42.2,41.6
Belgium/Belgique, 6 590, 6 730, 6 730, 6 720, 6 790,,0.7,0.7,0.7,0.7,0.7,,21.7,22.2,22.2,22.2,22.4
Czech R./R.tchèque, 26 060, 26 230, 26 290, 26 300, 26 370,,2.7,2.5,2.5,2.5,2.6,,33.6,33.9,34.0,34.0,34.1
Denmark/Danemark, 5 190, 5 190, 5 380,..,..,,1.1,1.0,1.0,..,..,,12.2,12.2,12.7,..,..
Finland/Finlande, 223 690, 233 210, 233 670, 231 860, 230 090,,48.6,48.8,46.9,45.4,44.3,,73.4,76.6,76.7,76.1,75.5
France, 156 420, 163 130, 165 330, 168 740, 170 930,,3.1,3.0,2.9,2.9,2.9,,28.9,30.1,30.5,31.2,31.6
Germany/Allemagne , 101 180, 102 730, 103 220, 104 540, 105 310,,1.3,1.3,1.3,1.3,1.3,,29.0,29.4,29.6,29.9,30.2
Greece/Grèce, 29 670, 29 510, 29 400,..,..,,3.4,3.1,2.9,..,..,,23.0,22.9,22.8,..,..
Hungary/Hongrie, 14 710, 15 870, 16 740, 17 190, 17 870,,1.4,1.5,1.6,1.7,1.8,,16.0,17.3,18.2,18.7,19.5
Iceland/Islande, 1 100, 1 100, 1 250, 1 280, 1 310,,5.4,4.8,4.9,4.8,4.6,,1.1,1.1,1.2,1.3,1.3
Ireland/Irlande, 3 030, 3 900, 4 810, 5 910, 6 500,,1.0,1.1,1.4,1.6,1.7,,4.4,5.7,7.0,8.6,9.4
Italy/Italie, 61 620, 63 550, 67 560, 68 210, 68 550,,1.1,1.1,1.2,1.2,1.2,,21.0,21.6,23.0,23.2,23.3
