Year , Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sep ,Oct ,Nov ,Dec 
1881 , -47 ,-29 , -6 ,6 ,-10 ,-81 ,-20 , -3 ,-12 ,-21 ,-25 , 14 
1882 ,42 , 13 , 12 ,-39 ,-17 ,-79 ,-52 ,3 , 13 , -6 ,-13 ,-49 
1883 , -41 ,-67 ,-18 , -1 , -8 , 37 , 24 ,-15 ,-44 ,-37 ,-53 , -8 
1884 , -33 , -5 ,-27 ,-76 ,-99 ,-55 ,-63 , 32 ,-18 ,-59 ,-60 ,-79 
1885 , -67 ,-56 ,-69 ,-67 ,-33 ,-73 ,-39 ,1 , -2 , 13 ,-19 , 25 
1886 , -52 ,-58 ,-52 ,-38 ,-36 ,-55 ,-16 ,-23 ,-20 ,-69 ,-29 ,-55 
1887 , -69, -105 ,-41 ,-63 ,-67 ,-49 ,-24 ,-12 ,-48 ,-44 ,-74 ,-51 
1888 , -45 ,-59 ,-68 , -9 ,-50 ,-33 ,-10 ,-13 ,-21 , -3 , 16 ,9 
1889 , -9 , 35 , 25 , 31 , 27 ,-14 ,-27 ,-40 ,-21 ,-14 ,-25 ,-21 
1890 , -45 ,-50 ,-47 ,-32 ,-77 ,-40 ,-43 ,-41 ,-16 ,-15 ,-59 ,-29 
1891 , -84 ,-92 ,-34 ,-51 ,-32 ,-41 ,-58 ,-45 ,-38 ,-46 ,-39 , -8 
1892 , -49 ,-21 ,-43 ,-63 ,-56 ,-50 ,-22 ,-16 ,-37 ,-24 ,-37 ,-49 
1893 ,-122 ,-81 ,-47 ,-45 ,-58 ,-55 , -1 ,-22 ,-28 ,8 ,-21 ,-31 
1894 , -65 ,-56 ,-30 ,-54 ,-49 ,-35 ,-15 ,-18 ,-35 ,5 ,3 , -1 
1895 , -53 ,-66 ,-36 ,-32 ,-22 ,-10 ,-39 , -7 ,2 ,7 ,1 ,5 
1896 , -3 ,-11 ,-36 ,-33 ,-21 ,-26 ,5 ,-14 ,9 , 34 ,-25 ,0 
1897 ,  0 ,-27 ,-12 ,6 , -6 , -2 ,8 ,-11 ,2 , -8 , 12 , -3 
1898 , 10 ,-29 ,-57 ,-36 ,-45 ,-14 ,-20 ,-16 , 10 ,-26 ,-28 , -6 
1899 , -24 ,-44 ,-19 , -9 ,-26 ,-37 , -9 ,-10 , 15 ,-12 , 18 , -3 
1900 , -34 , 12 , -1 , -1 , -4 ,8 ,-10 , -2 ,5 , 33 ,7 , 12 
1901 , -2 ,4 ,5 ,6 , -4 , 14 , -8 , -5 , 17 ,0 ,4 , -5 
1902 , -13 , 14 , -1 ,2 ,-12 ,-14 ,-23 ,-35 ,-21 ,-32 ,-30 ,-39 
1903 , -20 ,3 ,2 ,-39 ,-30 ,-50 ,-15 ,-29 ,-31 ,-38 ,-33 ,-42 
1904 , -62 ,-61 ,-35 ,-26 ,-50 ,-31 ,-46 ,-36 ,-32 ,-36 , -7 ,-25 
1905 , -23 ,-75 , -7 , -9 ,-16 ,-12 ,-23 ,-12 ,-12 ,-18 , 12 , -8 
1906 ,  1 ,-16 ,-18 , 23 , -5 , -9 , -6 , -3 ,-13 , -1 ,-33 , -8 
1907 , -30 ,-48 ,-29 ,-42 ,-48 ,-46 ,-21 ,-38 ,-24 ,-18 ,-45 ,-47 
1908 , -19 ,-19 ,-33 ,-27 ,-16 ,-22 ,-20 ,-24 , -2 ,-25 ,-41 ,-25 
1909 , -64 ,-44 ,-32 ,-45 ,-43 ,-24 ,-16 ,7 , -5 , -3 , -2 ,-41 
1910 , -26 ,-19 ,-26 ,-15 ,-11 ,-17 ,0 ,0 ,5 ,-18 ,-34 ,-47 
1911 , -45 ,-43 ,-39 ,-33 ,-20 ,-24 ,0 ,-11 ,-13 , -6 ,0 ,-10 
1912 ,-6 , -1 ,-28 ,-12 , -8 , -6 ,-34 ,-50 ,-29 ,-39 ,-33 ,-21 
1913 , -27 ,-35 ,-43 ,-14 ,-46 ,-43 ,-10 , -4 , -7 ,-19 , -6 , 13 
1914 , 25 ,8 ,3 , -8 , 13 ,1 ,-13 ,1 ,0 , 20 ,-19 ,-12 
1915 , -7 , 10 ,4 ,6 , -5 , -7 , 16 , -7 , 11 ,2 , 19 , -2 
1916 ,  3 , -3 ,-33 ,-18 ,-25 ,-35 ,-22 ,0 , -6 , -5 ,-29 ,-69 
1917 , -41 ,-66 ,-65 ,-43 ,-70 ,-33 , 15 ,-29 ,-22 ,-41 ,-27 ,-77 
1918 , -55 ,-53 ,-43 ,-41 ,-64 ,-33 ,-33 ,-32 , -7 , 14 ,-16 ,-21 
1919 , -13 ,-13 ,0 , -1 , -4 , -7 ,3 ,4 ,-10 ,1 ,-33 ,-17 
1920 ,  4 ,-17 ,-10 , -7 ,-15 ,-22 , -4 , -5 , -6 ,-35 ,-19 ,-37 
1921 ,  2 , -8 , -3 , -6 , -9 ,2 , 13 ,-36 , -8 , -5 ,-14 , -7 
1922 , -33 ,-34 ,-22 , -2 ,-25 ,-22 ,4 ,-18 , -6 ,-16 ,0 , -5 
1923 , -16 ,-15 ,-11 ,-36 ,-24 ,-21 ,-39 ,-31 ,-26 , -4 ,5 ,4 
1924 , -20 ,-29 , -5 ,-39 ,-20 , -9 , -5 , -7 ,1 , -7 ,0 ,-16 
1925 , -37 ,-25 ,-15 , -8 ,-20 ,-26 ,-21 , -3 ,-20 ,-25 , 10 , 24 
1926 , 32 , 36 , 28 , -3 ,-21 ,-15 , -2 , 11 , 11 , -3 , 15 ,-21 
1927 , -11 , -7 ,-29 ,-25 ,-21 ,-16 ,8 ,-14 ,1 , 23 , 21 ,-15 
1928 , 14 ,4 , -3 , -4 ,-29 ,-46 ,5 ,4 ,6 , -2 , 11 ,3 
1929 , -22 ,-38 ,-26 ,-30 ,-30 ,-32 ,-28 ,-27 ,-14 , 10 , 10 ,-44 
1930 , -16 , -6 ,2 ,-15 ,1 ,-12 , -7 , -7 , -3 ,-21 , 23 ,7 
1931 ,  1 ,-16 ,6 ,-16 ,-12 ,3 , 21 , 18 , -8 , 12 , -4 , 19 
1932 , 41 ,-16 ,-10 , 18 , -2 ,-30 , -6 , -9 , 14 , 20 ,1 , -8 
1933 , -23 ,-15 ,-14 , -6 , -3 ,-15 ,1 ,-13 , -2 ,0 ,-24 ,-37 
1934 ,-5 ,2 ,-22 ,-22 , 18 ,1 , 14 , 13 ,3 ,8 , 18 , 20 
1935 , -19 , 32 , 14 ,-35 ,-19 , -6 ,-12 ,-14 ,-30 ,1 ,-19 , -7 
1936 , -19 ,-36 , -7 ,4 ,-21 , -6 , 32 ,7 ,6 , 10 , 11 , 18 
1937 , -1 , 14 ,-11 , -7 , 10 ,8 ,4 , 12 , 31 , 27 , 38 ,7 
1938 ,  9 ,8 , 27 , 35 , 16 , -3 , 13 , -3 , 16 , 38 , 20 ,0 
1939 , 5 , -9 ,-26 ,-10 , 11 ,1 , -1 ,-17 , -5 , -2 , -7 , 42 
1940 , -11 , 12 , 13 ,6 , 12 , 21 , 33 , 12 , 21 , 12 ,8 , 29 
1941 ,12 , 24 , -2 ,6 , 12 , 19 , 35 , 11 ,-16 , 13 ,1 , 10 
1942 ,28 ,3 ,1 ,4 , 10 , 11 , 11 ,8 ,9 ,5 , 19 , 12 
1943 , -20 ,9 ,-14 ,6 , -4 , -9 , 17 ,-22 ,8 , 34 , 13 , 26 
1944 ,37 , 15 , 10 , -4 , -6 , -9 ,7 ,8 , 21 , 24 ,7 ,-11 
1945 , 8 , -6 ,2 , 18 ,-20 ,-22 ,-15 , 26 , 10 ,9 ,0 ,-25 
1946 , 8 ,3 , -6 , 12 ,8 , -9 , 11 , -6 ,5 ,-14 ,0 ,-19 
