Year,1970,1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
CA,4789,6307,8190,12542,15088,16571,16578,16584,16588,16591,16593,16600,16900,16900,16900,16900
MX,968,1028,932,923,1761,6308,6356,6394,6388,6430,6598,6759,6987,6979,7423,7409
US,53701,64653,71189,81678,84865,88035,88598,88699,88900,89217,89407,89449,89792,90712,91420,91983
JP,710,1615,2579,3555,4661,5677,5932,6114,6402,6455,6617,6851,6915,7196,7296,7383
KR,1032,1142,1225,1415,1551,1825,1886,1889,1996,2040,2131,2637,2778,2778,2923,2968
AU,1027,1056,1086,1100,1197,1330,1360,1388,1417,1446,1477,1509,1509,1509,1509,1509
NZ,100,110,119,140,156,156,156,156,156,184,226,167,169,169,171,172
AT,439,653,869,1110,1445,1596,1607,1613,1613,1634,1633,1645,1645,1670,1677,1677
BE,488,1051,1251,1534,1666,1674,1679,1682,1691,1702,1727,1727,1729,1729,1747,1747
CZ,0,64,259,318,339,414,423,486,499,499,499,517,518,518,546,564
DK,198,345,504,593,663,797,834,863,902,922,978,972,1010,1027,1032,1032
FI,108,180,204,204,225,394,431,444,473,512,549,591,603,653,653,693
FR,1553,3401,5264,6150,7100,8275,8596,8864,9303,9626,9766,10068,10223,10383,10492,10804
DE,4100,6213,7538,8350,8959,11190,11246,11309,11427,11515,11712,11786,12037,12044,12174,12400
GR,65,91,91,92,190,420,470,529,601,677,707,742,742,742,742,742
HU,171,181,209,324,349,420,365,382,448,448,448,448,533,542,569,636
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,0,0,0,8,8,70,80,94,94,115,118,125,125,176,192,247
IT,3913,5329,5900,5964,6185,6435,6465,6469,6478,6478,6478,6478,6487,6487,6532,6532
LU,7,23,44,58,78,123,115,118,118,115,115,125,125,125,146,147
NL,975,1530,1773,1975,2092,2178,2208,2225,2235,2256,2265,2281,2281,2308,2342,2342
NO,41,51,57,71,73,86,91,100,128,144,143,143,178,213,194,270
PL,139,139,139,174,220,246,258,264,268,317,358,398,405,405,552,552
PT,66,66,127,183,373,947,986,1113,1381,1436,1481,1651,1833,2002,2100,2341
SK,..,194,166,164,192,198,215,219,292,295,296,296,302,313,316,328
ES,203,888,1933,2919,5126,8133,8500,9063,9649,10306,10518,11152,11406,12009,12444,13156
SE,403,692,850,897,929,1141,1262,1350,1428,1439,1484,1499,1507,1544,1591,1700
CH,377,662,876,1054,1148,1197,1244,1258,1262,1267,1270,1305,1304,1351,1341,1358
TR,0,24,24,73,256,1246,1405,1560,1726,1749,1773,1851,1851,1882,1892,1775
GB,1057,2026,2585,2838,3180,3300,3336,3405,3450,3558,3575,3586,3588,3588,3633,3629
